,Airport,Hour,AIRPORT_POS,AvgDelay,LowDelay,HighDelay,Count
2067,PIT,09,"{'lat': 40.49147, 'lon': -80.23286999999999}",-3.5,-6.0,-2.0,4
2625,TYS,09,"{'lat': 35.812490000000004, 'lon': -83.99286}",11.0,-10.0,32.0,2
1258,HRL,09,"{'lat': 26.228509999999996, 'lon': -97.65439}",-2.0,-2.0,-2.0,1
2662,YUM,09,"{'lat': 32.65658, 'lon': -114.60597}",2.0,2.0,2.0,1
774,COS,09,"{'lat': 38.80581, 'lon': -104.70025}",-8.0,-8.0,-8.0,1
1998,PDX,09,"{'lat': 45.58872, 'lon': -122.5975}",3.3,-8.0,42.0,10
2651,XNA,09,"{'lat': 36.28187, 'lon': -94.30681}",-4.0,-4.0,-4.0,1
1974,OTZ,09,"{'lat': 66.88468, 'lon': -162.59855}",-3.0,-3.0,-3.0,1
1216,HNL,09,"{'lat': 21.31869, 'lon': -157.92241}",0.2,-8.0,25.0,5
798,CRW,09,"{'lat': 38.37315, 'lon': -81.59319}",-3.0,-3.0,-3.0,1
1964,ORF,09,"{'lat': 36.89461, 'lon': -76.20121999999999}",10.5,-9.0,30.0,2
762,CMI,09,"{'lat': 40.03925, 'lon': -88.27806}",-7.0,-7.0,-7.0,1
804,CVG,09,"{'lat': 39.04614, 'lon': -84.66216999999999}",-1.8,-9.0,9.0,5
403,ATL,09,"{'lat': 33.640440000000005, 'lon': -84.42694}",1.1764705882352942,-9.0,69.0,51
2020,PHL,09,"{'lat': 39.87195, 'lon': -75.24114}",-5.8,-9.0,-2.0,5
1234,HOU,09,"{'lat': 29.64542, 'lon': -95.27889}",8.875,-6.0,51.0,8
1947,ORD,09,"{'lat': 41.9796, 'lon': -87.90446}",18.871794871794872,-14.0,492.0,39
1931,ONT,09,"{'lat': 34.056, 'lon': -117.60118999999999}",-11.0,-11.0,-11.0,1
748,CMH,09,"{'lat': 39.99799, 'lon': -82.89188}",6.666666666666667,-5.0,25.0,3
2040,PHX,09,"{'lat': 33.43417, 'lon': -112.00806000000001}",3.65625,-10.0,87.0,32
1858,MYR,09,"{'lat': 33.67975, 'lon': -78.92833}",-10.0,-10.0,-10.0,1
1853,MTJ,09,"{'lat': 38.50887, 'lon': -107.89383000000001}",-12.0,-12.0,-12.0,1
1885,OGG,09,"{'lat': 20.89865, 'lon': -156.43046}",17.0,-6.0,40.0,2
1840,MSY,09,"{'lat': 29.99339, 'lon': -90.25803}",-2.0,-5.0,1.0,3
2149,RDU,09,"{'lat': 35.87764, 'lon': -78.78747}",-3.0,-7.0,4.0,5
1808,MSN,09,"{'lat': 43.13986, 'lon': -89.33751}",72.5,8.0,137.0,2
454,BDL,09,"{'lat': 41.93887, 'lon': -72.68323000000001}",12.0,-3.0,27.0,2
1327,ILM,09,"{'lat': 34.27061, 'lon': -77.90256}",-11.0,-11.0,-11.0,1
2554,TPA,09,"{'lat': 27.97547, 'lon': -82.53325}",-2.375,-6.0,2.0,8
2161,RHI,09,"{'lat': 45.631190000000004, 'lon': -89.46745}",-8.0,-8.0,-8.0,1
1126,GJT,09,"{'lat': 39.122409999999995, 'lon': -108.52673}",-6.0,-6.0,-6.0,1
666,CDC,09,"{'lat': 37.70097, 'lon': -113.09858}",8.0,8.0,8.0,1
376,ANC,09,"{'lat': 61.174319999999994, 'lon': -149.99618999999998}",-3.5,-7.0,0.0,2
897,DFW,09,"{'lat': 32.89595, 'lon': -97.0372}",8.333333333333334,-7.0,57.0,21
2168,RIC,09,"{'lat': 37.50517, 'lon': -77.31967}",-6.0,-6.0,-6.0,3
1785,MOB,09,"{'lat': 30.69142, 'lon': -88.24283}",-4.5,-5.0,-4.0,2
661,CAK,09,"{'lat': 40.916309999999996, 'lon': -81.44247}",-6.0,-6.0,-6.0,1
2520,STX,09,"{'lat': 17.70189, 'lon': -64.79856}",41.0,41.0,41.0,1
2514,STT,09,"{'lat': 18.337310000000002, 'lon': -64.97336}",-8.0,-15.0,-1.0,2
1771,MLI,09,"{'lat': 41.44853, 'lon': -90.50754}",1.0,1.0,1.0,1
2371,SGF,09,"{'lat': 37.24433, 'lon': -93.38686}",-2.6666666666666665,-6.0,2.0,3
1366,ITO,09,"{'lat': 19.72026, 'lon': -155.04847}",2.0,2.0,2.0,1
2533,SYR,09,"{'lat': 43.11119, 'lon': -76.10631}",-8.0,-8.0,-8.0,1
878,DEN,09,"{'lat': 39.85841, 'lon': -104.667}",35.77777777777778,-4.0,336.0,27
2381,SHV,09,"{'lat': 32.44663, 'lon': -93.8256}",3.0,3.0,3.0,1
1824,MSP,09,"{'lat': 44.88055, 'lon': -93.21692}",-1.9333333333333333,-14.0,12.0,30
696,CID,09,"{'lat': 41.88459, 'lon': -91.71087}",59.0,59.0,59.0,1
1337,IND,09,"{'lat': 39.71733, 'lon': -86.29438}",-3.0,-9.0,1.0,7
1137,GPT,09,"{'lat': 30.40728, 'lon': -89.07009000000001}",-11.0,-11.0,-11.0,1
1463,LAN,10,"{'lat': 42.7787, 'lon': -84.58736}",-11.0,-11.0,-11.0,1
1235,HOU,10,"{'lat': 29.64542, 'lon': -95.27889}",1.7777777777777777,-6.0,16.0,9
1338,IND,10,"{'lat': 39.71733, 'lon': -86.29438}",-3.0,-6.0,0.0,2
1498,LAX,10,"{'lat': 33.94254, 'lon': -118.40807}",12.864864864864865,-10.0,151.0,37
528,BOI,10,"{'lat': 43.564440000000005, 'lon': -116.22278}",10.25,-4.0,25.0,4
404,ATL,10,"{'lat': 33.640440000000005, 'lon': -84.42694}",2.4,-12.0,75.0,60
2501,STL,10,"{'lat': 38.747690000000006, 'lon': -90.35999}",2.7777777777777777,-5.0,16.0,9
2456,SMF,10,"{'lat': 38.69542, 'lon': -121.59076999999999}",-5.666666666666667,-13.0,0.0,3
1388,JAN,10,"{'lat': 32.311170000000004, 'lon': -90.07589}",14.0,14.0,14.0,1
2584,TUL,10,"{'lat': 36.198370000000004, 'lon': -95.88824}",-4.0,-5.0,-3.0,2
1434,JNU,10,"{'lat': 58.35496, 'lon': -134.57628}",-11.0,-11.0,-11.0,1
1183,GSP,10,"{'lat': 34.89567, 'lon': -82.21885999999999}",-8.0,-8.0,-8.0,1
2395,SJC,10,"{'lat': 37.36186, 'lon': -121.92901}",-2.1666666666666665,-6.0,3.0,6
1217,HNL,10,"{'lat': 21.31869, 'lon': -157.92241}",-4.166666666666667,-10.0,3.0,6
2473,SNA,10,"{'lat': 33.67566, 'lon': -117.86822}",-0.875,-13.0,15.0,8
1114,GEG,10,"{'lat': 47.619859999999996, 'lon': -117.53383999999998}",-4.0,-4.0,-4.0,1
1416,JFK,10,"{'lat': 40.63975, 'lon': -73.77893}",1.4166666666666667,-9.0,37.0,12
2652,XNA,10,"{'lat': 36.28187, 'lon': -94.30681}",-7.0,-7.0,-7.0,1
477,BHM,10,"{'lat': 33.562940000000005, 'lon': -86.75355}",-5.5,-8.0,-3.0,2
543,BOS,10,"{'lat': 42.36435, 'lon': -71.00518000000001}",12.647058823529411,-10.0,175.0,17
1202,HDN,10,"{'lat': 40.48118, 'lon': -107.21766000000001}",332.0,332.0,332.0,1
1534,LFT,10,"{'lat': 30.20528, 'lon': -91.98765999999999}",0.0,0.0,0.0,1
1311,ICT,10,"{'lat': 37.64996, 'lon': -97.43305}",-3.0,-4.0,-2.0,2
2638,VPS,10,"{'lat': 30.48325, 'lon': -86.5254}",-5.0,-5.0,-5.0,1
2626,TYS,10,"{'lat': 35.812490000000004, 'lon': -83.99286}",6.0,6.0,6.0,1
1250,HPN,10,"{'lat': 41.066959999999995, 'lon': -73.70756999999999}",-10.0,-10.0,-10.0,1
487,BIL,10,"{'lat': 45.80766, 'lon': -108.54286}",-12.0,-12.0,-12.0,1
1278,IAD,10,"{'lat': 38.94453, 'lon': -77.45581}",-1.0,-1.0,-1.0,1
1101,FWA,10,"{'lat': 40.97847, 'lon': -85.19515}",-8.0,-8.0,-8.0,1
511,BNA,10,"{'lat': 36.12448, 'lon': -86.67818}",-4.625,-9.0,-1.0,8
426,AUS,10,"{'lat': 30.19453, 'lon': -97.66986999999999}",1.1666666666666667,-9.0,16.0,6
